QUEST_20150317_000001	$Por favor, selecione o usuário que precisa de uma atualização de quest.
QUEST_20150317_000928	$Pegue as bombas no baú. Você deve destruir a entrada do Mausoléu Real.
QUEST_20150317_000929	$Socorro!
QUEST_20150317_000930	$Aviso
QUEST_20150317_000931	{memo X}Pare! Você não deve passar desse ponto sem permissão!
QUEST_20150317_000932	{memo X}Hein? Você parece ter pouca experiência, mas ainda pode nos ser útil. {nl}Você encontrará o oficial quando seguir essa estrada.
QUEST_20150317_000933	{memo X}Como...! Perder a revelação bem na frente de...! {nl}Isso ainda não acabou! Lembre-se disso!
QUEST_20150317_000934	$Bem, então, vamos dar início ao experimento.
QUEST_20150317_000935	$Comida Estragada
QUEST_20150317_000936	$Bolinhos de batata. Parece uma má ideia comê-los. {nl}Goela abaixo?
QUEST_20150317_000937	$Está estragado.
QUEST_20150317_000938	$Comida preservada
QUEST_20150317_000939	$Comida preservada que foi seca ou salgada. {nl}Não parece ser comestível por si só.
QUEST_20150317_000940	$Bebida alcóolica
QUEST_20150317_000941	$Tem cheiro de bebida alcóolica.
QUEST_20150317_000942	$Explorar
QUEST_20150317_000943	$Parece que só pode ser usado na Mina de Cristal 3A...
QUEST_20150317_000944	$Encontrou um pedaço de papel embaixo da terra.
QUEST_20150317_000945	$Comer mais seria bastante arriscado.
QUEST_20150317_000946	$Você está sentindo algo terrível em suas entranhas...
QUEST_20150317_000947	$Oooh...
QUEST_20150317_000948	$Nunca mais quero comer isso.
QUEST_20150317_000949	$Isso é perigoso. Quero vomitar!!!
QUEST_20150317_000950	$Parece haver muitos livros interessantes. {nl}Qual deveríamos ler?
QUEST_20150317_000951	$Maravilhas das Florestas Profundas
QUEST_20150317_000952	$Muitas estátuas de corujas feitas de madeira, de propósito desconhecido, são encontradas nas profundezas nas florestas.
QUEST_20150317_000953	$A lenda diz que um escultor fez as estátuas para ajudar a guiar as almas dos mortos.
QUEST_20150317_000954	$Dizem que ele vive escondido há séculos, e ainda está esculpindo as estátuas.
QUEST_20150317_000955	$A Cidade Perdida do Reino
QUEST_20150317_000956	$O Milenar foi celebrado no milésimo aniversário do Reino.
QUEST_20150317_000957	$Cem anos depois, a Árvore Divina se ergueu no centro da capital, {nl}causando um desastre. O mundo foi devastado pelas plantas.
QUEST_20150317_000958	$A capital foi tomada pelos gritos angustiados do povo, {nl}e logo virou uma cidade perdida.
QUEST_20150317_000959	$Monstros
QUEST_20150317_000960	$Antes de Medzio Diena, só havia Vubbes.
QUEST_20150317_000961	$Mas depois, monstros com características e ferocidade distintas apareceram em bandos.
QUEST_20150317_000962	$Companhias Siauliai
QUEST_20150317_000963	$A principal indústria de Siauliai é a mineração, e sua especialidade são cristais da Mina de Cristal.
QUEST_20150317_000964	$Atualmente, apenas o Lote 1 da Mina está sendo explorado, mas as minas antigamente tinham dois lotes.
QUEST_20150317_000965	$Mas o Lote 2 da Mina foi fechado pela declaração do bispo para lacrar os demônios. {nl}O alquimista também reside na vila por essa razão.
QUEST_20150317_000966	$Summa Theologica
QUEST_20150317_000967	$Tudo sobre a Estátua da Deusa Vakarine é belo, {nl}mas a parte mais bela são seus poderes especiais {nl}que permitem levar ao mundo das deusas.
QUEST_20150317_000968	$Lenda de Cunningham
QUEST_20150317_000969	$É uma história antiga o suficiente para se perder na memória de todos.
QUEST_20150317_000970	$Enquanto realizava trabalhos compulsórios nas minas, Cunningham encontrou uma estranha garota de uns sete anos de idade. {nl}A garota falava constantemente de um grande perigo, mas pouco sobre si mesma.
QUEST_20150317_000971	$Cunningham teve pena da garota e cuidou dela. Logo se tornaram os melhores amigos.
QUEST_20150317_000972	$Mas a felicidade não durou muito; logo, os demônios atacaram as minas. {nl}Com a ajuda da garota, Cunningham lutou contra os demônios para afastar Mirtis.
QUEST_20150317_000973	{memo X}Entretanto, Mirtis era forte demais e Cunningham teve de tomar uma decisão difícil.
QUEST_20150317_000974	$No fim das contas, Cunningham destruiu as minas, lacrando Mirtis e a si mesmo dentro delas.
QUEST_20150317_000975	$Conjunto de Livros de Cirurgia
QUEST_20150317_000976	$As pessoas não perdoaram a família por despertar os demônios adormecidos. {nl}As pessoas expulsaram a família com medo de serem corrompidas {nl}e a família teve de vagar pelo reino com a opressão e discriminação do povo.
QUEST_20150317_000977	$Os homens daquela família sofriam de uma estranha doença. {nl}Sua pele era ressecada e se esfarelava, e eles continuavam coçando-a, como se estivessem sentindo dor.
QUEST_20150317_000978	$A pele rachava como a superfície da terra seca, com sangue e pus fluindo dela. {nl}Eles sofriam com a dor por muito tempo, e não conseguiam dormir. {nl}Estavam em constante estado de colapso nervoso.
QUEST_20150317_000979	$Registro de Viagens do Reino
QUEST_20150317_000980	{memo X}O Vale do Piso Losangular é a obra-prima da Deusa da Maravilha e Natureza. {nl}As escadas de calcário que preenchem o sul estão cobertas de águas de fontes naturais, e brilham de maneira fantástica.
QUEST_20150317_000981	$A cor da nascente às vezes é safira, outras vezes é verde-jade. {nl}Observar suas cores profundas e misteriosas faz você se perguntar se isso é obra da deusa.
QUEST_20150317_000982	$Minha Confissão
QUEST_20150317_000983	{memo X}As muitas mortes de demônios não conseguiam preencher o vazio no meu coração. {nl}Uma vez que minha grande missão da deusa terminar, serei deixado com uma longa vida de momentos entediantes.
QUEST_20150317_000984	$Nesse caso, tentarei interpretar a revelação da deusa pelo que resta da minha vida. {nl}Se isso for contra a vontade dela, a deusa deve me punir imediatamente.
QUEST_20150317_000985	$Mas me dará a chance de fazer uma retrospectiva da minha vida. {nl}E, em longo prazo, pode ajudar um Revelador que surja no futuro.
QUEST_20150317_000986	$Mesa de Leitura
QUEST_20150317_000987	$Há alguns livros nas estantes sob a mesa de leitura. {nl}Qual livro vamos ler?
QUEST_20150317_000988	$Está muito velho e desgastado para olhar.
QUEST_20150317_000989	$Dia 4 de X {nl} - {nl} Há pouco tráfego vindo da capital ultimamente. {nl} Quando uma família chegou, toda a vila preparou uma festa de boas-vindas. {Nl} Afinal de contas, quantos estrangeiros vemos hoje em dia? {nl}
QUEST_20150317_000990	$Posso não saber por qual razão as pessoas viriam até aqui, {nl} mas depois de Medzio Diena, é maravilhoso estar em uma cidade tão animada. {Nl} Talvez eu falte ao trabalho amanhã e participe da comemoração. {Nl} {nl}
QUEST_20150317_000991	$Dia 5 de X {nl} - {nl} Queria firmar minha amizade com meus novos vizinhos o quanto antes, então trouxe alguns bolinhos de batata. {nl}Na porta, ouvi a casa chacoalhar. Meu vizinho apareceu com uma expressão vazia, {nl}mas se animou quando viu os bolinhos de batata. {Nl}
QUEST_20150317_000992	$Ele pediu desculpas pela falta de ânimo, já que estava colocando papel de parede com o filho. {Nl} Que família harmoniosa, me pergunto se poderia reproduzir algo assim?
QUEST_20150317_000993	$10 de X {nl} - {nl} Sr. Raman, que vivia na beira do riacho do nosso lado, deu uma saída. Sua esposa disse que ele foi buscar lenha. {nl} Bem, por muito tempo, ele ficou desaparecido em Klaipeda. {nl}Ouvi dizer que tem muita garota bonita em Klaipeda. {Nl}
QUEST_20150317_000994	$13 de X {nl} - {nl} Hoje foi o Dia da Origem da Deusa, mas por alguma razão todos na cidade estavam com dor de barriga e não puderam celebrar. Por que aconteceu especificamente nesse dia, não sei dizer. {Nl}Mas doença é doença. Depois de tudo isso, tivemos de fazer mingau de batata. {Nl}
QUEST_20150317_000995	$14 de X {nl} - {nl} Ontem à noite eu discuti com a minha irmãzinha. {nl}Escrever o que você pensa não é tão embaraçoso. Depois do que aconteceu, {nl}fiz um colar de presente para ela, e ela voltou até mim. {nl}Bem, tive de desistir eventualmente. Mesmo assim, ela desapareceu, indo para algum lugar em uma certa manhã. {Nl}
QUEST_20150317_000996	$Ah, meu vizinho acabou de me fazer um delicioso mingau. {Nl} Em troca, preparei uma sopa quente para ele. Eu também sei cozinhar, sabe? {Nl}Hoje será outro banquete, então vou me certificar de comer e beber bastante.
QUEST_20150317_000997	$16 de X {nl} - {nl} Estou com dor de barriga por tomar sopa que não sabia que estava estragada. {Nl} Eu chequei duas vezes o cheiro antes de comer, mas não tinha nenhum sinal de estar estragada. {Nl}Estava me sentindo péssimo, então fui até o poço pegar água. Mesmo com a água, continuei me sentindo mal. {Nl}
QUEST_20150317_000998	$Estive vomitando muito ultimamente, mas pareço estar melhorando agora. {Nl}Amanhã verei o Sr. Gordon para obter ervas medicinais. {Nl} Minha irmãzinha ainda não voltou. Quando fui até o quarto dela, não encontrei nenhuma roupa. Até o Sr. Man está ficando preocupado.
QUEST_20150317_000999	$17 de X {nl} - {nl} A vila estava assustadoramente silenciosa hoje. {Nl}Não há sinais das pessoas que foram pegar ervas com o Sr. Gordon.
QUEST_20150317_001000	$23 de X {nl} - {nl} Essa pode ser a última vez que escrevo nesse diário. {Nl} Lyliana, você é a única família que me resta nesse mundo... {nl} Por favor, esteja viva em algum lugar... {Nl}
QUEST_20150317_001001	{nl}(Tem mais algo escrito, mas está tudo bagunçado e deixa de ser legível.)
QUEST_20150317_001002	$Data Desconhecida {nl}- {nl}Muitos dias se passaram. {nl}Estive fugindo por dois dias corridos, sem comer ou dormir. {nl}As pessoas que fugiram para Klaipeda foram pegas e mortas. {nl}Nem sei quantas ainda estão vivas e conseguem andar. {nl}Tudo está silencioso e sombrio, mas se movendo com rapidez. Estamos todos nervosos, com medo do ataque.
QUEST_20150317_001003	$Eles não desejavam qualquer confusão ou desordem. {nl}Eles não são pessoas. {nl}Devemos notificar Klaipeda de algum jeito. {nl}Um último recurso seria abandonar tudo que não podemos usar e partir.
QUEST_20150317_001004	{memo X}Ah. É você. {nl}Esse é a base do nosso acampamento militar, então sinta-se à vontade para relaxar.
QUEST_20150317_001005	{memo X}Você já encontrou os outros soldados? {nl}Hmm... Qual é o seu nome?
QUEST_20150317_001006	{memo X}Certo, agradeço. Vocês trabalham duro. {nl}Quero falar com meus assistentes. Onde estão eles?
QUEST_20150317_001007	$Você tem algo a dizer?
QUEST_20150317_001008	$Enviar dois da entrada para a linha de frente? {nl}Rá, isso não faz sentido. Por acaso eles pediram para fazer isso?
QUEST_20150317_001009	$É você? Isso me incomodaria. {nl}Hmm... Fico agradecido que você queira se juntar à linha de frente, quando seria mais fácil ficar aqui...
QUEST_20150317_001010	$Odeio pessoas que não são responsáveis. {nl}Há pessoas que possam cobrir suas posições?
QUEST_20150317_001011	$Gosto do seu espírito. {nl}Mas isso não quer dizer que posso aceitar você sem questionamento.
QUEST_20150317_001012	$Somos a unidade invicta de Laimondas. {nl}Só aceito os melhores soldados que consigo encontrar.
QUEST_20150317_001013	$Aliás, você vai levar esse cara também?
QUEST_20150317_001014	$Não sei o que ele faz, mas mantenha isso em mente: {nl}Guerra não é uma piada. Deixarei você levá-lo se estiver disposto a trabalhar com ele em combate.
QUEST_20150317_001015	{memo X}Droga, achei que ele fosse morrer depois de ter a garganta cortada. {nl}Espero que possa se comportar e morrer lentamente agora.
QUEST_20150317_001016	$Ops. Me atrasei desta vez. Bem, não importa. {nl}Logo minha obra-prima estará completa. Espero que vocês gostem.
QUEST_20150317_001017	$Demônio Desconhecido
QUEST_20150317_001018	$Ah... Quase me esqueci. Vou levar esse cara!
QUEST_20150317_001019	$Eu sinto o poder de Laima.
QUEST_20150317_001020	{memo X}A dor que não sentia há tanto tempo...
QUEST_20150317_001021	{memo X}Mesmo assim, não perderei meu tempo com você.
QUEST_20150317_001022	{memo X}Acho que a revelação real está na capela? {nl}Aquela Laima só poderia preparar esse tanto. Que pena.
QUEST_20150317_001023	$Esse é o Lacre do Espaço...{nl}
QUEST_20150317_001024	$Precisaremos do Revelador.
QUEST_20150317_001025	$O Revelador chegou aqui sem mais ninguém. {nl}Exatamente como eu queria.
QUEST_20150317_001026	{memo X}Por que razão você veio até essa cidade amaldiçoada? {nl}Por favor, se não tiver um propósito específico, volte.
QUEST_20150317_001027	{memo X}Então, você é o famoso Revelador. Os Cavaleiros de Kaliss estão procurando pessoas competentes como você. {nl}Se estiver aqui para ajudá-los, permitirei sua entrada temporariamente.
QUEST_20150317_001028	{memo X}Mas, por favor, não se esqueça. O direito de entrar aqui pertence aos nossos soldados. {nl}Esperamos que você não crie problemas desnecessários.
QUEST_20150317_001029	{memo X}Salister... Do que você está falando? {nl}Isso é absurdo...
QUEST_20150317_001030	$O Símbolo do Sedimento está em minhas mãos, graças a você. {n}Se eu entregar esse símbolo para os tolos do Exército Real ou os Cavaleiros de Kaliss, eles vão me dar mais turnos para vigiar.
QUEST_20150317_001031	$Somente um homem ambicioso e inteligente como eu poderia liberar o verdadeiro potencial desse objeto.
QUEST_20150317_001032	$Usarei o poder da Petrificação e Gelo para despertar o poder antigo que existia séculos atrás. {nl}Só fique aí assistindo.
QUEST_20150317_001033	$Eu ajudarei a manter os Espíritos do Tempo longe de você!
QUEST_20150317_001034	$O que está acontecendo? {nl}Está vindo para cá! Cuidado!
QUEST_20150317_001035	{memo X}Você está se dirigindo à Grande Catedral, Revelador? {nl}Tenha cuidado! Os demônios nos cercaram!
QUEST_20150317_001036	$A barreira está de pé e funcionando. {nl}Por favor, lide com Gesti enquanto eu ativo a Esfera Divina.
QUEST_20150317_001037	$Se ela não estiver no primeiro andar, então deve estar no segundo. {nl}Espero que não seja tarde demais.
QUEST_20150317_001038	$Esse é meu amigo, Donatas. {nl}Vou na frente para descobrir os movimentos de Gesti, então suba quando você estiver com tudo pronto.
QUEST_20150317_001039	$Ei! Você não deveria estar aqui!
QUEST_20150317_001040	$Então, o Mestre Peltasta enviou você... Ah, então era disso que os mineradores covardes estavam falando.
QUEST_20150317_001041	$Não se preocupe. Não estou assustado. São só rumores infundados. {nl}Não é surpresa que a mina esteja tremendo.
QUEST_20150317_001042	$Quadro de Requisições
QUEST_20150317_001043	{memo X}Aqui estão todas as requisições. {nl}Atenção: Não somos responsáveis pelas recompensas dessas requisições.
QUEST_20150317_001044	$Empregado Brendon
QUEST_20150317_001045	{memo X}Vou mostrar as requisições registradas até agora. {nl}Você sabe que é preciso passar um dia para receber uma requisição novamente, caso desista dela, não é?
QUEST_20150317_001046	Gerente de Requisição (Temporário)
QUEST_20150317_001047	$Escolher Início/Final da Requisição
QUEST_20150317_001048	{memo X}Empregado Ramda
QUEST_20150317_001049	{memo X}As requisições que vi são meio diferentes das demais. {nl}Prometo que há claras recompensas para você e os membros de seu grupo.
QUEST_20150317_001050	$Grande Comerciante Gilliam
QUEST_20150317_001051	$Tudo pronto para começar a próxima fase?
QUEST_20150317_001052	{memo X}Oficial
QUEST_20150317_001053	{memo X}Vou guiar você para onde acredito que suas habilidades se fazem mais necessárias.
QUEST_20150317_001054	{memo X}Houve um aumento súbito de monstros na Floresta Siauliai Ocidental. {nl}Precisamos da sua ajuda, urgentemente.
QUEST_20150317_001055	{memo X}Vubbes estão saindo da Mina de Cristal. {nl}A Vila dos Mineradores precisa da sua ajuda.
QUEST_20150317_001056	{memo X}Uma aura perversa desceu sobre o Desfiladeiro Regato de Prata, um sinal de uma invasão de demônios. {nl}Seguidores, tanto Batedores quanto Paladinos, estiveram bloqueando seu avanço, mas precisam desesperadamente da sua ajuda.
QUEST_20150317_001057	{memo X}Monstros estão atacando a Igreja da Doutrina. {nl}Seguidores Paladinos estão bloqueando seus ataques, mas logo cairão sem sua ajuda.
QUEST_20150317_001058	{memo X}Coisas estranhas estão acontecendo na Ribeira Gramínea. {nl}Todos os habitantes desapareceram, e agora os monstros ocupam a vila.
QUEST_20150317_001059	{memo X}Há uma aura negra se formando na Rota do Portão. {nl}Se não nos livrarmos daquela aura, heras espinhosas cobrirão a floresta.
QUEST_20150317_001060	{memo X}Por favor, ajude os historiadores na Passagem do Grande Rei. {nl}Monstros os estão perseguindo desde que encontraram uma pista sobre Medzio Diena.
QUEST_20150317_001061	{memo X}O túmulo do Grande Rei Zachariel está sendo arruinado por uma horda. {nl}O túmulo será destruído pelos demônios se você não lutar contra eles.
QUEST_20150317_001062	{memo X}Monstros estão obstruindo a entrada da Estrada Tortuosa Alta. {nl}Se esses monstros não forem removidos, as cidades e vilas ficarão isoladas.
QUEST_20150317_001063	{memo X}Demônios invadiram a Torre da Maga. {nl}Precisamos da sua ajuda, logo.
QUEST_20150317_001064	{memo X}Precisamos de apoio na entrada da Floresta Kateen. {nl}Deveríamos ser capazes de tomar a floresta de volta dos monstros, mas vamos precisar de mais apoio e pessoal.
QUEST_20150317_001065	{memo X}Precisamos de apoio para abrir um caminho do Pico da Alma até a Passagem do Grande Rei. {nl}Por favor, nos ajude.
QUEST_20150317_001066	{memo X}Houve um desastre na Rota do Demônio Faminto. {nl}Por favor, envie ajuda logo.
QUEST_20150317_001067	{memo X}A Grande Catedral está sendo arruinada por uma horda ameaçadora. {nl}A Catedral logo desabará sem sua ajuda.
QUEST_20150317_001068	{memo X}168 [Siauliai50_1, 47_4]
QUEST_20150317_001069	{memo X}171 [Farmland47]
QUEST_20150317_001070	{memo X}178 [Demon Prison]
QUEST_20150317_001071	{memo X}189 [Farmland49]
QUEST_20150317_001072	{memo X}196 [Demon Prison54_1]
QUEST_20150317_001073	{memo X}198 [Siauliai46]
QUEST_20150317_001074	{memo X}208 [Thorn Forest39]
QUEST_20150317_001075	{memo X}217 [Catacomb38_2, 04, 38_1, 02]
QUEST_20150317_001076	{memo X}226 [Area of Ruins37_1, 2, 3]
QUEST_20150317_001077	{memo X}Monstros estão avançando em direção à cidade amaldiçoada de calcário. {nl}As tropas enviadas estão fazendo o que podem para resistir, mas a maldição está deixando a situação terrível.
QUEST_20150317_001078	{memo X}245 [Fortress of the Land]
QUEST_20150317_001079	Revelação da Torre da Maga
QUEST_20150317_001080	É uma velha história de Fedimian antes da Estátua da Deusa
QUEST_20150317_001081	Há muito tempo, as pessoas de Fedimian eram ordinárias, {nl}mas não muito diferentes das pessoas ordinárias do resto do mundo. {nl}Entretanto, as pessoas de Fedimian eram diferentes de seus iguais no resto do mundo em um aspecto.
QUEST_20150317_001082	As pessoas de Fedimian eram muito cuidadosas.{nl}Elas levam a palavra 'cauteloso' muito mais a sério. {nl}Essas pessoas eram tão cuidadosas ao redor do fogo como eram sem ele.
QUEST_20150317_001083	Os Fedimianos eram humildes com os outros sobre esse assunto. {nl}Até aqueles que ficavam em Fedimian por algum tempo não conseguiam obter essa qualidade.
QUEST_20150317_001084	Graças a esse comportamento, as pessoas de Fedimian tinham mais sucesso durante tempos difíceis, {nl}já que eram capazes de sentir o perigo se aproximando.
QUEST_20150317_001085	Por causa disso, não se poupam elogios sobre o cuidado das pessoas de Fedimian.
QUEST_20150317_001086	Em Fedimian, se alguém deixa dinheiro cair no chão, ele está perdido para sempre. {nl}Em um mundo que consiste principalmente de moedas de prata, {nl}apenas os credores saberiam quanto dinheiro exatamente se perdeu dessa forma.
QUEST_20150317_001087	Por que o dinheiro desaparece no chão de Fedimian permanece um mistério. {nl}Algumas pessoas acreditam que a Deusa Zemyna absorve o dinheiro que entra em contato com a área dela. {nl}Mas a maioria dos plebeus acredita que isso foi feito para reduzir a demanda de moedas de prata dos credores.
QUEST_20150317_001088	Acreditando que a própria deusa toma a prata,{nl}as pessoas descobriram ser infrutífero tentar escavar prata em seu território. {nl}O fato de que você pode oferecer moeda de prata em Fedimian como tributo a ela reforça essa ideia.
QUEST_20150317_001089	De qualquer forma, o fato de que alguém pode perder dinheiro derrubando-o no solo de Fedimian{nl}fez os Fedimianos serem muito cuidadosos no modo de lidar com dinheiro.
QUEST_20150317_001090	Entretanto, não importa quanto você é cuidadoso, erros ainda acontecem. {nl}Ainda mais no caso de jovens garotas. {nl}Um dia, aconteceu com uma garota chamada Aiste.
QUEST_20150317_001091	Normalmente, quando alguém deixa moedas de prata caírem no chão, elas se espalham pela estrada, {nl}e então desaparecem sem deixar um rastro. {nl}{nl}Fedimianos normalmente reclamam de sua falta de cuidado e seguem adiante, {nl}mas Aiste agiu de forma diferente: ela se perguntou por que e como isso acontece.
QUEST_20150317_001092	Para descobrir o que aconteceu, Aiste começou a inspecionar a área onde perdeu suas moedas. {nl}Em sua busca, ela encontrou um mendigo ao lado da margem funda do canal.
QUEST_20150317_001093	{memo X}Aiste perguntou ao mendigo idoso, {nl}'Você por acaso pegou as moedas de prata que eu deixei cair? {nl}{nl}Poderia devolvê-las para mim?{nl}Trabalhei duro todos os dias por essas moedas e realmente preciso delas.'
QUEST_20150317_001094	{memo X}O mendigo ficou surpreso. Aiste pedia o impossível. {nl}Afinal de contas, encontrar moedas caídas em Fedimian era impensável. {nl}O velho mendigo estava prestes a explicar isso a Aiste, mas em vez disso comentou: {nl}'Também perdi moedas nessa área. Seria bom você que procurasse pelas minhas enquanto procura pelas suas.'
QUEST_20150317_001095	Quase imediatamente, o mendigo se sentiu culpado pelo tom de escárnio de suas palavras. Ele se desculpou com Aiste.
QUEST_20150317_001096	{memo X}'Por que você não vai para onde trabalha e explica a eles o que aconteceu? Certifique-se de parecer perdida.' O mendigo então completou com hesitação, {nl}'Enquanto isso, procurarei suas moedas de prata aqui.'
QUEST_20150317_001097	Ao ouvir as palavras do mendigo, Aiste agradeceu, e seguiu seu conselho. {nl}Através deste ato altruísta, o mendigo despertou um sentimento de responsabilidade. Ele olhou para a silhueta de Aiste enquanto partia, seu coração pesado e acalentado pela experiência.
QUEST_20150317_001098	Aiste foi ao pomar nos limites da cidade de Fedimian onde trabalhava. {nl}Lá, onde alguém poderia simplesmente pegar frutas das árvores, também era importante pegar as frutas caídas no chão.
QUEST_20150317_001099	Mãos menores eram melhores para colher frutas, então crianças e jovens costumavam ser contratadas no pomar. {nl}Alguns pomares iam mais longe: Contratavam macacos, cujas mãos eram menores que as das crianças, para colher frutas. Macacos trabalhavam com mais eficiência que as crianças, mas muitas vezes comiam as frutas colhidas. Portanto, a maioria dos donos dependia de contratar crianças.
QUEST_20150317_001100	Voltando ao assunto, Aiste visitou o pomar onde trabalhava e explicou a situação ao dono do pomar. {nl}Infelizmente, o dono não estava de bom humor, tendo acabado de brigar com sua mulher. {nl}Ele, como todos outros Fedimianos, sabiam do fenômeno, e não viram razão para dar mais dinheiro para Aiste.
QUEST_20150317_001101	{memo X}E então ele disse, {nl}'Assim como você conseguiu colher todas as minhas frutas, deveria ser capaz de encontrar seu dinheiro em Fedimian, então não me peça para pagar de novo.' {nl}As palavras frias do dono do pomar trouxeram lágrimas aos olhos da garota. {nl}Ver aquilo o deixou de coração partido, mas mesmo assim, ele não quis dar mais dinheiro a ela.
QUEST_20150317_001102	{memo X}Ele logo foi tomado pela culpa e disse, {nl}'Se você realmente precisa daquele dinheiro, deveria falar com o prateiro.'
QUEST_20150317_001103	Aiste seguiu para a casa do prateiro logo que escutou essas palavras. {Nl}Felizmente, a casa ficava logo fora das paredes de Fedimian. {Nl}Caso ficasse dentro delas, o prateiro correria o risco de perder dinheiro e artigos de prata para o chão.
QUEST_20150317_001104	É por essa razão que ele vive nos arredores de Fedimian. {nl}Aiste bateu na porta da frente e explicou sua situação assim que ele atendeu.
QUEST_20150317_001105	{memo X}O prateiro, depois de escutar a história de Aiste, disse, {nl}'Mesmo para crianças é tolice ser tão descuidada. Como você poderia não saber que todo dinheiro que cai no chão de Fedimian desaparece para jamais ser encontrado novamente?'
QUEST_20150317_001106	{memo X}Aiste ficou surpresa com o que o prateiro disse, e se entristeceu. {nl}Depois de uma pausa, ela perguntou, {nl}'Então, por que coisa tão cruel acontece?'
QUEST_20150317_001107	{memo X}Mesmo o prateiro não sabe a verdadeira resposta, então ele improvisou, {nl}'A Deusa Zemyna deve estar ficando com o dinheiro.'
QUEST_20150317_001108	{memo X}Ao ouvir essas palavras, Aiste respondeu, {nl}'Então terei de ir perguntar à Deusa.' {nl}O prateiro ficou surpreso e respondeu, {nl}'Se for fazer isso, por que não pede à deusa que devolva meus artigos de prata?'
QUEST_20150317_001109	O prateiro não levou suas próprias palavras a sério, mas Aiste sim. {nl}Ela partiu imediatamente para fazer o que disse. O prateiro ficou com pena de Aiste, {nl}mas não teve coragem de chamá-la de volta enquanto ela se distanciava.
QUEST_20150317_001110	{memo X}Uma Aiste exausta logo chegou à Estátua da Deusa Zemyna. {Nl}Ela se prostrou perante a estátua e rezou à Deusa representada com sua cabeça completamente abaixada. {nl}'Ó, deusa. Por favor, devolva minhas moedas de prata perdidas.' {nl}Logo, enquanto oferecia suas preces, Aiste não pode mais controlar sua tristeza e finalmente começou a chorar.
QUEST_20150317_001111	{memo X}Por quanto tempo ela rezou chorando? {nl}De repente, Aiste ouviu uma voz se dirigindo a ela. {nl}'Minha criança, vieste pegar de volta o que perdeste?'
QUEST_20150317_001112	Aiste sabia em seu coração que a Deusa Zemyna se dirigia a ela. {nl}Ela parou de chorar, pigarreou e respondeu.
QUEST_20150317_001113	{memo X}A voz da Deusa foi ouvida novamente. {nl}'Aiste, o que você está pedindo a mim não é de uma forma que eu aprovo. Onde eu reino, não há safra ou frutos para aqueles que não trabalham.'
QUEST_20150317_001114	{memo X}'Mas eu trabalhei muito duro hoje!'
QUEST_20150317_001115	{memo X}'Eu sei. Então, no lugar disso, vou dar a você e aos outros uma chance. Olhe sob seus pés.'
QUEST_20150317_001116	A voz da deusa desapareceu com essas palavras, e Aiste encontrou moedas de prata sob seus pés. {nl}Ela olhou onde havia deixado suas moedas e descobriu que as lágrimas que derramara haviam se transformado em moedas.{nl}Aiste ficou muito feliz, e se certificou de pegar toda a prata antes de partir.
QUEST_20150317_001117	{memo X}Depois de dar alguns passos, Aiste pensou no prateiro, {nl}e, novamente, foi à sua casa e bateu em sua porta. {nl}Como se esperasse o seu retorno, o prateiro abriu a porta imediatamente e disse. {nl}'Me desculpe. Sinto muito por enviar você daquele jeito. Vou lhe dar um pouco de prata. {nl}Desta vez, tome cuidado para não deixar cair no chão e volte em segurança para casa.'
QUEST_20150317_001118	{memo X}Enquanto o prateiro oferecia as suas moedas de prata, Aiste chacoalhou a cabeça e disse,{nl}'Não, obrigado, a deusa devolveu todas as minhas moedas. E ainda me deu mais algumas. {nl}Eu lembrei de você dizer que também tinha perdido prata, então vim lhe dar minhas moedas extras. Você não precisa me dar as suas.'
QUEST_20150317_001119	{memo X}A princípio, o prateiro estava desconfiado sobre a devolução das moedas, {nl}então ficou surpreso quando Aiste mostrou a ele moedas genuínas. Depois de pensar um pouco, o prateiro disse, {nl}'Então, que tal isso: Você me dá o que quer, e aceita o que eu estava prestes a lhe dar. {nl}Não é justo? Além disso, darei uma sacola para carregar sua prata extra.'
QUEST_20150317_001120	Aiste aceitou e deu suas moedas extras ao prateiro. {nl}Depois disso, o prateiro deu a Aiste uma sacola de moedas.
QUEST_20150317_001121	{memo X}Depois de sair da casa do prateiro, {nl}Aiste repentinamente se lembrou do velho mendigo, que ainda devia estar procurando por suas moedas, e ficou preocupada com ele. {nl}No caminho para encontrar o mendigo, ela passou pelo pomar novamente. {nl}Ao ver Aiste, o dono do pomar ficou empolgado. {nl}'Estava procurando por você. Desculpe por mandar você embora. Como desculpa, vou pagar seu salário novamente. {nl}Por favor, tome cuidado para não perdê-lo outra vez.'
QUEST_20150317_001122	{memo X}O dono do pomar pegou uma grande quantidade de moedas, mais do que o salário de Aiste, e entregou a ela. {nl}Entretanto, Aiste chacoalhou a cabeça e disse, {nl}'A Deusa Zemyna já devolveu meu dinheiro. O prateiro também me ajudou, então estou com um excesso, na verdade. {nl}Aqui, veja.'
QUEST_20150317_001123	Ao dizer isso, Aiste abriu a sacola de moedas que recebera do prateiro e mostrou ao dono do pomar. {nl}O dono do pomar ficou extremamente surpreso, já que a quantia de dinheiro que ela obteve da Deusa e do prateiro eram maiores do que a quantia que ele tinha.
